Distance,Height,Angle,PathLoss,
416.49,1.88,0,99.563,88.1882392659
416.41,1.88,0,99.539,88.2616044925
416.32,1.88,0,99.688,88.3437428735
416.23,1.88,0,99.489,88.4254615673
416.15,1.88,0,99.374,88.4977490838
416.06,1.88,0,NaN,88.5786784423
415.97,1.88,0,NaN,88.6591917344
415.88,1.88,0,99.427,88.7392902273
415.79,1.88,0,99.53,88.8189751947
415.7,1.88,0,99.528,88.8982479167
415.61,1.88,0,NaN,88.97710968
415.52,1.88,0,99.482,89.0555617775
415.43,1.88,0,99.473,89.1336055082
415.34,1.88,0,NaN,89.2112421769
415.25,1.88,0,99.542,89.2884730943
415.16,1.88,0,NaN,89.3652995767
415.06,1.88,0,99.452,89.4501896056
414.97,1.88,0,NaN,89.5261666281
414.79,1.88,0,99.45,89.6769210954
414.7,1.88,0,NaN,89.7517012209
414.51,1.88,0,99.447,89.9082706658
414.41,1.88,0,99.616,89.9899705623
414.32,1.88,0,NaN,90.0630867394
414.22,1.88,0,99.412,90.1438689577
414.13,1.88,0,NaN,90.2161622734
414.03,1.88,0,99.505,90.2960335993
413.94,1.88,0,NaN,90.3675101792
413.78,1.88,0,NaN,90.4936305989
406.99,1.88,0,99.418,94.8338710782
406.87,1.88,0,99.47,94.8946983894
406.76,1.88,0,99.411,94.9500290297
406.65,1.88,0,NaN,95.0049530815
406.53,1.88,0,NaN,95.0644094079
406.29,1.88,0,99.578,95.1818919541
406.17,1.88,0,99.507,95.239924513
406.06,1.88,0,99.44,95.2927095882
405.94,1.88,0,99.44,95.3498473947
405.83,1.88,0,99.427,95.4018175637
405.71,1.88,0,NaN,95.4580721256
405.59,1.88,0,99.417,95.5138704065
405.48,1.88,0,99.336,95.5646206479
405.36,1.88,0,NaN,95.6195530441
405.24,1.88,0,99.41,95.6740381677
405.12,1.88,0,99.337,95.7280790842
405,1.88,0,99.443,95.7816788472
404.89,1.88,0,99.483,95.8304270204
404.77,1.88,0,NaN,95.8831897309
404.65,1.88,0,99.693,95.9355201252
404.53,1.88,0,99.386,95.9874212092
404.41,1.88,0,99.391,96.0388959762
404.29,1.88,0,99.427,96.0899474067
404.17,1.88,0,99.363,96.1405784688
404.05,1.88,0,NaN,96.1907921175
403.93,1.88,0,99.408,96.2405912951
403.81,1.88,0,99.397,96.2899789309
403.69,1.88,0,NaN,96.3389579409
403.44,1.88,0,NaN,96.4396977939
403.19,1.88,0,99.412,96.5387027457
403.07,1.88,0,99.445,96.5856164746
402.95,1.88,0,99.473,96.6321392668
402.83,1.88,0,NaN,96.6782739426
402.45,1.88,0,NaN,96.8218383945
402.32,1.88,0,99.467,96.8700813596
402.2,1.88,0,99.364,96.9142241478
402.07,1.88,0,NaN,96.9616271469
401.94,1.88,0,NaN,97.0085984253
401.69,1.88,0,99.647,97.0977270107
401.56,1.88,0,NaN,97.1434559778
401.43,1.88,0,99.47,97.1887666005
401.31,1.88,0,99.475,97.2302233868
401.18,1.88,0,99.31,97.2747389329
401.06,1.88,0,NaN,97.3154674924
400.93,1.88,0,99.493,97.3592002551
400.8,1.88,0,99.492,97.4025307824
400.67,1.88,0,NaN,97.4454623409
400.48,1.88,0,NaN,97.507497528
399.58,1.88,0,NaN,97.7901674829
390.64,1.88,0,99.427,99.7837829569
390.5,1.88,0,99.487,99.8055948053
390.35,1.88,0,99.467,99.8287069087
390.2,1.88,0,99.538,99.8515551159
390.05,1.88,0,99.379,99.8741421877
389.91,1.88,0,NaN,99.8949902655
389.6,1.88,0,99.486,99.9403638071
389.45,1.88,0,99.435,99.9619334235
389.3,1.88,0,99.444,99.983255318
389.15,1.88,0,99.418,100.0043320964
389,1.88,0,99.47,100.0251663391
388.85,1.88,0,99.416,100.0457606017
388.7,1.88,0,99.445,100.0661174147
388.55,1.88,0,99.661,100.0862392842
388.4,1.88,0,99.443,100.1061286915
388.25,1.88,0,99.332,100.1257880941
388.1,1.88,0,99.423,100.145219925
387.95,1.88,0,99.461,100.1644265935
387.8,1.88,0,NaN,100.1834104853
387.64,1.88,0,NaN,100.2034170811
387.33,1.88,0,NaN,100.2414767771
387.17,1.88,0,99.449,100.2607629945
387.02,1.88,0,99.726,100.2786259998
386.87,1.88,0,99.413,100.2962805012
386.71,1.88,0,99.444,100.3148846528
386.56,1.88,0,NaN,100.3321152571
386.4,1.88,0,99.369,100.3502722315
386.25,1.88,0,99.525,100.3670882275
386.09,1.88,0,NaN,100.3848078301
385.78,1.88,0,99.631,100.4185101491
385.62,1.88,0,NaN,100.4355848907
385.46,1.88,0,99.402,100.4524450182
385.31,1.88,0,99.547,100.4680586548
385.15,1.88,0,99.379,100.4845099195
385,1.88,0,NaN,100.4997444931
384.84,1.88,0,99.609,100.515795905
384.68,1.88,0,99.48,100.5316444044
384.52,1.88,0,99.404,100.5472923158
384.37,1.88,0,NaN,100.5617821027
384.2,1.88,0,99.554,100.577995545
384.05,1.88,0,99.449,100.5921197802
383.89,1.88,0,NaN,100.6069999858
383.73,1.88,0,99.622,100.6216907127
383.57,1.88,0,99.526,100.6361941384
383.41,1.88,0,NaN,100.6505124161
383.09,1.88,0,99.478,100.6786020233
382.93,1.88,0,99.701,100.6923775419
382.77,1.88,0,99.469,100.7059762915
